longitude,latitude,site
-149.8455917,-17.47185366,1
-149.829821,-17.47185366,1
-149.829821,-17.48641792,1
-149.8455917,-17.48641792,1
-149.8455917,-17.47185366,1
-149.8116849,-17.46576169,2
-149.7961685,-17.46576169,2
-149.7961685,-17.48131958,2
-149.8116849,-17.48131958,2
-149.8116849,-17.46576169,2
-149.7708619,-17.50382025,3
-149.7519968,-17.50382025,3
-149.7519968,-17.52087158,3
-149.7708619,-17.52087158,3
-149.7708619,-17.50382025,3
-149.7772857,-17.53305021,4
-149.7566866,-17.53305021,4
-149.7566866,-17.55064263,4
-149.7772857,-17.55064263,4
-149.7772857,-17.53305021,4
-149.8869755,-17.56818162,5
-149.8561009,-17.56818162,5
-149.8561009,-17.59182383,5
-149.8869755,-17.59182383,5
-149.8869755,-17.56818162,5
-149.934537,-17.50735955,6
-149.9115336,-17.50735955,6
-149.9115336,-17.52839766,6
-149.934537,-17.52839766,6
-149.934537,-17.50735955,6
